keyword,tendency,weight,category,antonym,synonyms
4대강 보 해체,진보,4,환경,"댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 보 존치, 가뭄 홍수 예방, 수자원 관리, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 농업용수 확보, 플라스틱 빨대 규제 계도, 4대강 보 활용","그린워싱 규제 강화, 4대강 복원, 금강 영산강 보 처리, 기후 위기, 기후 동행 카드, 물길 트기, 가덕도 신공항 건설, 녹조 라떼 해결, 기후대응기금 삭감, 강의 재자연화, 자연성 회복, 4대강 재자연화"
건국절,보수,4,역사/정치,"항일 독립운동 부정, 임시정부 수립일, 뉴라이트 역사관, 광복절, 1919년 건국론","대한민국 건국일, 건국절 제정, 1948년 건국, 1948년 정부 수립, 자유민주주의 체제 출범, 홍범도 장군 흉상 이전"
건전 재정,보수,2,경제,"긴축의 역설, 확장 재정, 횡재세 도입, 민생 예산 삭감, 적극 재정","재정 준칙 법제화, 긴축 재정, 국가 부채 관리, 재정 준칙, 금투세 폐지, 미래 세대 부담 경감, 국가 채무 관리"
검수완박,진보,5,정치,"권력 수사 무력화, 검수원복, 범죄자 천국, 부패완판","검찰청법 개정, 검찰 공화국, 수사 기소 분리, 견제와 균형, 검찰 수사권 완전 박탈, 검찰 정상화, 형사소송법 개정"
검찰 공화국,진보,5,정치,"법치 주의, 법과 원칙, 공정과 상식, 법치주의 확립","검수완박, 검찰 제국, 검찰 독재, 검찰 국가화, 검찰 전성시대, 검찰 국가"
공공 주도 공급,진보,3,부동산,"민간 활력 저해, 시장 주도 공급, 재산권 침해, 민간 재개발 활성화, 종부세 완화","공공 자가 주택, 2.4 대책, 공공 재개발, 공공 주택 공급, 주거 공공성, 3기 신도시"
금투세 폐지,보수,4,경제,"소득 있는 곳에 세금, 조세 형평성 훼손, 횡재세 도입, 부자 감세","코리아 디스카운트 해소, 주식 시장 활성화, 건전 재정, 개미 투자자 보호, 금융투자소득세 폐지"
기본 소득,진보,4,복지,"안심 소득, 세금 낭비, 현금 살포, 선별 복지","경제적 기본권, 전국민 지원금, 보편적 복지"
기후 위기,진보,3,환경,"댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 산업 경쟁력 저하, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 현실적 에너지 믹스, 플라스틱 빨대 규제 계도, 기후 과장","그린워싱 규제 강화, 탄소 중립, 기후 동행 카드, 기후대응기금 삭감, 그린 뉴딜, 기후 정의"
노란봉투법,진보,5,노동,"외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 불법 파업 조장법, 기업 경영 위축, 산업 현장 혼란, 파업 만능주의, 직무급제 도입, 산업 현장 마비","특수고용직 산재보험 적용, 플랫폼 종사자법, 공공기관 민영화(지분 매각), 합법 파업 보장법, 정년 연장(계속 고용), 하청 노동자 교섭권 보장, 노동권 보장, 공공부문 비정규직 제로, 파업 노동자에 대한 기업의 손해배상 청구를 제한하고 하청 노동자의 교섭권을 보장하는 법안, 노조법 2.3조 개정, 손해배상 가압류 제한"
여성가족부 폐지,보수,4,사회,"성평등 추진 체계 강화, 성차별 구조 해소, 여가부 기능 강화","성별 갈등 해소, 인구가족부 신설, 여가부 해체"
의대 증원,중립,3,의료,"간호법 제정, 의학교육 부실화","지방 의료 살리기, 의사 수 부족 해결, 필수 의료 확충"
종부세 완화,보수,3,부동산,"공공 주도 공급, 조세 형평성 훼손, 똘똘한 한 채 심화, 부자 감세","부동산 세제 정상화, 징벌적 과세 정상화, 보유세 부담 완화"
주 52시간제 유연화,보수,3,노동,"특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 장시간 노동 회귀, 정년 연장(계속 고용), 플랫폼 종사자법, 과로사 조장, 주 69시간제, 공공부문 비정규직 제로, 공짜 야근","연장 근로 단위 확대, 근로시간 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 노사 자율권 확대, 직무급제 도입"
최저임금 차등적용,보수,3,노동,"특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 플랫폼 종사자법, 정년 연장(계속 고용), 임금 차별, 저임금 노동자 생존권 위협, 최저임금 1만원, 공공부문 비정규직 제로","외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 업종별 차등 적용, 타임오프제(근로시간 면제), 소상공인 지불 능력 고려, 직무급제 도입"
후쿠시마 오염수,진보,5,환경,"댐 건설 재개, 처리수, SMR(소형모듈원전) 개발, 괴담 유포 중단, 과학적 검증, 사용후 핵연료 저장 시설, IAEA 기준 충족","그린워싱 규제 강화, 기후 위기, 기후 동행 카드, 기후대응기금 삭감, 오염수 방류 반대, 방사능 오염, 핵 폐기물"
전술핵 재배치,보수,4,외교/안보,"자체 핵무장 반대, 한반도 비핵화","9.19 군사합의 효력 정지, 공포의 균형, 핵무장론, NPT 준수, 나토식 핵공유, 우크라이나 무기 지원, 핵 균형, 북핵 위협 대응을 위해 미군 전술핵을 다시 들여오거나 자체 핵무장을 해야 한다는 주장 vs 비핵화 원칙 고수"
9.19 군사합의 효력 정지,보수,4,외교/안보,"군사합의 준수, 접경지역 우발 충돌 방지, 평화 안전핀 유지","북한의 도발에 대응해 군사합의 효력을 정지하고 정찰/훈련을 재개해야 한다는 주장, 전술핵 재배치, 우크라이나 무기 지원, 대북 정찰 강화, 군사 대비 태세 강화, 안보 족쇄 해제"
우크라이나 무기 지원,보수,3,외교/안보,"평화적 해결, 살상 무기 지원 반대, 대러 관계 악화 우려","탄약 우회 지원, 포탄 지원, 자유 진영 연대, 9.19 군사합의 효력 정지, 러시아 침공에 맞서 우크라이나에 군사적 지원을 해야 한다는 주장 vs 러시아와의 관계 파탄 우려, 전술핵 재배치"
홍범도 장군 흉상 이전,보수,3,역사/정치,"이념 전쟁 중단, 독립운동가 폄훼, 역사 쿠데타","육사 정체성 확립, 주적관 확립, 공산당 이력 문제, 건국절, 육군사관학교 내 홍범도 장군 흉상을 공산당 이력을 이유로 이전하려는 논란"
김포 서울 편입,보수,3,행정/지역,"지방 균형 발전, 선거용 포퓰리즘, 행정 구역 개편 신중론","김포구, 메가 서울, 경기 김포시 등을 서울로 편입하여 메가시티를 만들자는 구상, 서울 생활권 통합"
양곡관리법,진보,4,경제/농업,"쌀 강제 매수법, 재정 낭비, 농업 경쟁력 저하, 과잉 생산 유발","식량 안보, 쌀값 정상화법, 농민 생존권 보장, 쌀 초과 생산분을 정부가 의무적으로 매입하도록 하는 법안"
횡재세 도입,진보,3,경제,"황금알 거위 배 가르기, 기업 이익 침해, 건전 재정, 이중 과세, 시장 원리 위배, 금투세 폐지","초과 이익 환수, 상생 금융 기여금, 은행 및 정유사 등 외부 요인으로 과도한 이익을 얻은 기업에 추가 세금을 부과하자는 주장, 고통 분담"
플랫폼 규제법,진보,3,경제/IT,"플랫폼 경쟁력 약화, 자율 규제 원칙, 제2의 타다 금지, 혁신 저해","갑질 방지, 골목 상권 침해 방지, 독과점 방지, 온플법, 거대 온라인 플랫폼 기업의 독과점 및 불공정 행위를 규제하는 법안"
대형마트 의무휴업 폐지,보수,2,경제,"노동자 휴식권, 골목 상권 보호, 소상공인 생존권","새벽 배송 허용, 건전 재정, 대형마트의 주말 의무 휴업 규제를 완화하거나 폐지하자는 논의, 유통 규제 완화, 소비자 선택권, 금투세 폐지"
비동의 간음죄,진보,4,사회/젠더,"증거 재판주의 훼손, 억울한 피해자 발생, 무고죄 양산 우려","폭행/협박이 없어도 상대방의 동의가 없었다면 강간죄로 처벌하자는 법안, 동의 여부 중심 심판, 성적 자기결정권 보호, 강간죄 개정"
촉법소년 연령 하향,보수,3,사회/법,"낙인 효과 우려, 소년범 양산, 미성년자 보호, 교화 우선","사형 집행 재개, 형사 미성년자 연령 축소, 처벌 강화, 형사 처벌을 받지 않는 촉법소년의 연령 상한(만 14세)을 낮추자는 주장, 소년법 개정"
사형 집행 재개,보수,3,사회/법,"생명권 존중, 오판 가능성, 범죄 억지력 미비, EU 통상 마찰 우려","실질적 사형 폐지국 탈피, 흉악범 사회 격리, 정의 구현, 집행이 중단된 사형수들에 대해 실제 사형을 집행해야 한다는 여론"
생활동반자법,진보,3,사회/인권,"시기상조, 동성혼 꼼수 합법화, 전통적 가족 해체","동거 법적 보호, 사실혼 보호, 다양한 가족 구성권, 혈연이나 혼인 관계가 아니어도 동거하는 파트너에게 법적 권리를 부여하는 제도"
